dy;wbc;miny;minx;im;maxx;maxy;r;dx;;;;
127;mo;80;736;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\12.bmp;863;207;25.0;127;;;;
124;mo;663;518;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\12.bmp;642;787;25.0;124;;;;
104;mo;704;771;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\13.bmp;875;808;27.0;104;;;;
98;ne;429;550;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\14.bmp;650;527;25.0;100;;;;
59;target cell;386;1032;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\14.bmp;1088;445;25.0;56;;;;
62;target cell;169;714;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\14.bmp;775;231;25.0;61;;;;
122;ne;541;666;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\15.bmp;788;663;27.0;122;;;;
84;ly;649;287;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\16.bmp;372;733;27.0;85;;;;
136;bne;639;783;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\17.bmp;905;775;27.0;122;;;;
140;mo;488;589;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\18.bmp;734;628;19.0;145;;;;
33;th;589;695;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\18.bmp;729;622;19.0;34;;;;
134;mo;638;657;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\19.bmp;773;772;25.0;116;;;;
121;ne;270;107;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\2.bmp;224;391;27.0;117;;;;
23;th;483;440;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\2.bmp;468;506;27.0;28;;;;
65;target cell;841;843;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\2.bmp;910;906;27.0;67;;;;
103;ly;729;961;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\20.bmp;1055;832;27.0;94;;;;
114;ne;109;567;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\20.bmp;689;223;27.0;122;;;;
110;mo;663;969;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\21.bmp;1081;773;19.0;112;;;;
113;prm;371;1133;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\21.bmp;1251;484;19.0;118;;;;
93;ly;114;878;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\22.bmp;970;207;27.0;92;;;;
102;mo;134;834;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\23.bmp;943;236;19.0;109;;;;
95;ne;324;779;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\24.bmp;888;419;25.0;109;;;;
76;ly;134;149;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\25.bmp;232;210;25.0;83;;;;
110;ne;395;430;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\25.bmp;566;505;25.0;136;;;;
123;ne;341;648;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\26.bmp;772;464;25.0;124;;;;
130;ne;652;396;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\26.bmp;507;782;25.0;111;;;;
104;my;353;393;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\27.bmp;499;457;27.0;106;;;;
122;ne;693;819;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\28.bmp;939;815;25.0;120;;;;
125;ne;294;313;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\29.bmp;435;419;19.0;122;;;;
113;ne;788;486;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\29.bmp;618;901;19.0;132;;;;
40;th;732;525;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\29.bmp;570;772;19.0;45;;;;
104;ne;533;792;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\3.bmp;898;637;27.0;106;;;;
112;ne;12;556;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\3.bmp;668;124;27.0;112;;;;
130;ne;555;162;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\30.bmp;282;685;19.0;120;;;;
120;ne;394;758;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\30.bmp;856;514;19.0;98;;;;
71;ly;686;787;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\30.bmp;864;757;19.0;77;;;;
120;bne;193;282;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\30.bmp;383;313;19.0;101;;;;
152;ne;145;605;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\31.bmp;728;297;19.0;123;;;;
147;ne;496;34;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\31.bmp;113;643;19.0;79;;;;
105;ly;592;1104;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\31.bmp;1217;697;19.0;113;;;;
95;bne;1;626;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\31.bmp;742;96;19.0;116;;;;
121;bne;414;420;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\32.bmp;561;535;19.0;141;;;;
51;th;185;113;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\32.bmp;141;236;19.0;28;;;;
88;ly;329;103;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\33.bmp;192;417;19.0;89;;;;
107;ly;206;436;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\33.bmp;552;313;19.0;116;;;;
118;bne;389;1022;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\33.bmp;1156;507;19.0;134;;;;
57;th;128;239;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\33.bmp;292;185;19.0;53;;;;
48;th;161;713;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\33.bmp;744;209;19.0;31;;;;
138;ne;140;324;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\34.bmp;439;278;19.0;115;;;;
117;ne;211;884;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\34.bmp;1011;328;19.0;127;;;;
92;ly;125;76;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\35.bmp;187;217;19.0;111;;;;
112;mo;753;241;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\35.bmp;358;865;19.0;117;;;;
127;mo;37;112;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\35.bmp;242;164;19.0;130;;;;
122;mo;614;443;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\36.bmp;574;736;19.0;131;;;;
84;ly;627;875;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\37.bmp;963;711;19.0;88;;;;
106;ly;444;1061;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\38.bmp;1170;550;19.0;109;;;;
170;un;621;121;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\38.bmp;260;791;19.0;139;;;;
130;ne;217;438;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\39.bmp;554;347;19.0;116;;;;
107;ne;271;226;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\39.bmp;345;378;19.0;119;;;;
101;ly;326;203;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\39.bmp;292;427;19.0;89;;;;
170;un;5;1166;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\39.bmp;1278;175;19.0;112;;;;
123;ne;604;564;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\4.bmp;685;727;27.0;121;;;;
24;th;288;442;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\4.bmp;469;312;27.0;27;;;;
141;mo;377;410;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\40.bmp;548;518;19.0;138;;;;
61;ne;1;864;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\40.bmp;989;62;19.0;125;;;;
114;ly;70;701;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\41.bmp;781;184;19.0;80;;;;
148;mo;869;731;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\41.bmp;876;1017;19.0;145;;;;
152;prm;569;913;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\42.bmp;1051;721;19.0;138;;;;
80;ly;830;639;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\42.bmp;715;910;19.0;76;;;;
116;mo;705;252;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\42.bmp;381;821;19.0;129;;;;
74;ly;831;642;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\42.bmp;714;905;19.0;72;;;;
96;rly;592;665;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\43.bmp;745;688;19.0;80;;;;
130;mo;630;862;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\43.bmp;973;760;19.0;111;;;;
105;ly;293;756;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\44.bmp;860;398;19.0;104;;;;
127;mo;537;878;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\45.bmp;1028;664;19.0;150;;;;
100;bne;649;897;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\45.bmp;1019;749;19.0;122;;;;
119;ne;226;479;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\46.bmp;596;345;19.0;117;;;;
130;ne;391;287;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\46.bmp;404;521;19.0;117;;;;
143;bne;709;86;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\46.bmp;218;852;19.0;132;;;;
127;mo;537;878;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\47.bmp;1028;664;19.0;150;;;;
133;mo;563;898;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\47.bmp;1047;696;19.0;149;;;;
138;ne;770;986;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\47.bmp;1122;908;19.0;136;;;;
106;rly;885;708;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\47.bmp;809;991;19.0;101;;;;
139;mo;265;527;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\47.bmp;663;404;19.0;136;;;;
139;mo;869;140;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\48.bmp;277;1008;19.0;137;;;;
38;ne;985;490;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\48.bmp;615;1023;19.0;125;;;;
133;mo;539;220;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\49.bmp;366;672;19.0;146;;;;
117;ne;254;257;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\5.bmp;384;371;27.0;127;;;;
25;th;249;263;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\5.bmp;287;274;27.0;24;;;;
59;target cell;779;146;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\5.bmp;207;838;27.0;61;;;;
99;ly;239;382;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\50.bmp;486;338;19.0;104;;;;
90;ly;363;819;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\51.bmp;920;453;19.0;101;;;;
96;un;3;1;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\51.bmp;78;99;19.0;77;;;;
125;bne;83;711;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\52.bmp;849;208;25.0;138;;;;
126;ne;556;645;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\53.bmp;764;682;19.0;119;;;;
105;ne;201;680;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\54.bmp;829;306;27.0;149;;;;
103;ly;366;354;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\55.bmp;446;469;25.0;92;;;;
131;ne;793;793;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\56.bmp;927;924;27.0;134;;;;
137;ne;752;577;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\57.bmp;709;889;27.0;132;;;;
112;ne;682;197;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\58.bmp;330;794;27.0;133;;;;
82;ly;732;742;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\59.bmp;831;814;27.0;89;;;;
104;ne;709;178;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\6.bmp;288;813;27.0;110;;;;
84;ly;294;728;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\60.bmp;820;378;27.0;92;;;;
136;prm;702;859;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\61.bmp;987;838;27.0;128;;;;
98;ly;711;652;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\62.bmp;739;809;27.0;87;;;;
142;mo;757;616;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\63.bmp;743;899;19.0;127;;;;
140;ne;477;633;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\64.bmp;765;617;25.0;132;;;;
115;mo;523;648;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\65.bmp;745;638;27.0;97;;;;
78;ly;206;556;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\66.bmp;637;284;25.0;81;;;;
126;ne;43;1115;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\66.bmp;1233;169;25.0;118;;;;
107;un;264;321;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\66.bmp;424;371;25.0;103;;;;
74;ly;440;401;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\67.bmp;483;514;25.0;82;;;;
83;ly;627;933;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\68.bmp;1017;710;25.0;84;;;;
54;target cell;203;485;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\68.bmp;549;257;25.0;64;;;;
120;ne;361;1071;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\69.bmp;1182;481;27.0;111;;;;
65;target cell;368;382;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\69.bmp;454;433;27.0;72;;;;
64;target cell;741;423;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\69.bmp;483;805;27.0;60;;;;
30;th;251;572;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\69.bmp;600;281;27.0;28;;;;
102;ne;637;604;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\7.bmp;709;739;25.0;105;;;;
99;ne;292;392;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\7.bmp;494;391;25.0;102;;;;
108;ne;611;787;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\70.bmp;895;719;27.0;108;;;;
60;target cell;621;952;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\70.bmp;1016;681;27.0;64;;;;
90;ly;468;938;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\71.bmp;1025;558;27.0;87;;;;
83;ly;324;602;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\72.bmp;688;407;25.0;86;;;;
92;ly;812;200;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\73.bmp;293;904;27.0;93;;;;
106;mo;294;788;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\74.bmp;885;400;27.0;97;;;;
116;ne;417;505;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\75.bmp;608;533;27.0;103;;;;
85;macrocyta;932;619;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\75.bmp;703;1017;27.0;84;;;;
112;mo;59;1133;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\76.bmp;1248;171;27.0;115;;;;
129;ne;371;1047;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\77.bmp;1187;500;27.0;140;;;;
140;mo;272;927;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\78.bmp;1057;412;27.0;130;;;;
97;rly;351;567;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\79.bmp;663;448;27.0;96;;;;
117;ne;114;1034;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\8.bmp;1155;231;25.0;121;;;;
120;ne;528;913;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\8.bmp;1031;648;25.0;118;;;;
74;macrocyta;710;246;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\8.bmp;324;784;25.0;78;;;;
69;nacrocyta;346;419;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\8.bmp;486;415;25.0;67;;;;
106;mo;497;654;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\80.bmp;761;603;27.0;107;;;;
70;ly;572;234;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\81.bmp;315;642;27.0;81;;;;
85;ly;152;526;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\82.bmp;612;237;19.0;86;;;;
117;ne;434;326;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\83.bmp;442;551;27.0;116;;;;
78;ly;372;896;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\84.bmp;973;450;27.0;77;;;;
95;ly;126;283;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\85.bmp;372;221;27.0;89;;;;
76;ly;685;778;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\86.bmp;853;761;27.0;75;;;;
108;mmy;655;507;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\87.bmp;621;763;27.0;114;;;;
85;ly;13;347;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\88.bmp;439;98;19.0;92;;;;
86;ly;14;334;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\88.bmp;442;100;19.0;108;;;;
80;ly;575;192;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\89.bmp;274;655;27.0;82;;;;
119;ne;391;1160;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\89.bmp;1276;510;27.0;116;;;;
78;ly;180;673;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\9.bmp;748;258;27.0;75;;;;
91;math;669;518;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\90.bmp;606;760;27.0;88;;;;
125;ne;885;266;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\90.bmp;399;1010;27.0;133;;;;
85;ly;597;356;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\91.bmp;442;682;25.0;86;;;;
82;ly;749;445;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\92.bmp;533;831;25.0;88;;;;
68;nrbc;232;448;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\93.bmp;524;300;27.0;76;;;;
127;bne;558;279;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\94.bmp;397;685;27.0;118;;;;
135;mo;488;227;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\95.bmp;363;623;27.0;136;;;;
86;macrocyta;565;974;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\96.bmp;1058;651;25.0;84;;;;
133;mo;590;302;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\97.bmp;433;723;19.0;131;;;;
83;ly;567;336;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\98.bmp;425;650;19.0;89;;;;
93;ne;425;129;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\98.bmp;225;518;19.0;96;;;;
24;th;589;276;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\98.bmp;302;613;19.0;26;;;;
85;ly;110;740;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\99.bmp;797;195;27.0;57;;;;
68;ly;276;101;d:\DATA\DiagonAdatbazis_20170221-5\17_gepi_5_8_13\99.bmp;172;344;27.0;71;;;;
141;mo;62;784;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_5815_1233_1150.bmp;941;203;19.0;157;;;;
96;ly;632;173;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_5853_64_2200.bmp;286;728;19.0;113;;;;
122;mo;428;846;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_5854_2050_700.bmp;977;550;25.0;131;;;;
99;ly;677;536;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_5917_1644_950.bmp;624;776;27.0;88;;;;
110;rly;709;551;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_5932_1233_1200.bmp;652;819;19.0;101;;;;
125;mo;470;1121;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_5974_2050_800.bmp;1251;595;25.0;130;;;;
85;ly;397;307;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6002_128_2150.bmp;394;482;19.0;87;;;;
92;ly;439;1024;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6026_1753_850.bmp;1125;531;27.0;101;;;;
77;ly;480;1064;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6026_914_1450.bmp;1140;557;25.0;76;;;;
100;mo;863;311;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6041_1265_1200.bmp;411;963;27.0;100;;;;
100;ly;473;254;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6053_1644_950.bmp;354;573;27.0;100;;;;
84;ly;12;607;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6057_1862_800.bmp;685;96;27.0;78;;;;
114;mo;505;241;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6083_64_2250.bmp;391;619;19.0;150;;;;
75;ly;187;599;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6132_1675_900.bmp;701;262;19.0;102;;;;
97;rly;883;593;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6138_758_1550.bmp;692;980;25.0;99;;;;
111;rly;539;656;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6172_977_1500.bmp;815;650;25.0;159;;;;
122;mo;252;1023;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6199_1233_1250.bmp;1139;374;25.0;116;;;;
105;rly;170;277;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6226_1518_1050.bmp;383;275;25.0;106;;;;
131;mo;387;513;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6243_773_1600.bmp;635;518;25.0;122;;;;
114;mo;222;770;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6247_1801_900.bmp;891;336;27.0;121;;;;
86;ly;428;165;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6251_726_1600.bmp;249;514;25.0;84;;;;
137;mo;735;1012;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6251_726_1600.bmp;1142;872;25.0;130;;;;
103;ly;10;268;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6261_1073_1350.bmp;374;113;25.0;106;;;;
77;ly;150;872;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6273_96_2250.bmp;948;227;27.0;76;;;;
124;mo;733;812;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6278_1392_1200.bmp;932;857;27.0;120;;;;
98;ly;603;223;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6297_882_1500.bmp;322;701;27.0;99;;;;
86;ly;859;985;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6305_1170_1250.bmp;1070;945;27.0;85;;;;
104;bne;858;359;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6308_378_2000.bmp;511;962;25.0;152;;;;
113;mo;801;937;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6308_378_2000.bmp;1051;914;25.0;114;;;;
109;ne;393;635;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6311_0_2450.bmp;749;502;27.0;114;;;;
136;mo;57;1034;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6312_160_2150.bmp;1212;193;27.0;178;;;;
115;mo;372;39;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6333_1009_1450.bmp;140;487;25.0;101;;;;
103;ne;649;269;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6352_64_2300.bmp;372;752;19.0;103;;;;
107;mo;202;468;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6374_252_2100.bmp;586;309;25.0;118;;;;
82;rly;237;1008;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6392_442_1950.bmp;1102;319;25.0;94;;;;
80;ly;738;302;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6392_442_1950.bmp;382;818;25.0;80;;;;
86;rly;272;817;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6392_851_1600.bmp;905;358;27.0;88;;;;
85;ly;425;684;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6399_157_2200.bmp;787;510;27.0;103;;;;
78;ly;673;434;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6415_1138_1300.bmp;516;751;27.0;82;;;;
99;rly;479;471;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6421_1550_1050.bmp;592;578;25.0;121;;;;
99;ly;222;142;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6423_632_1650.bmp;236;321;25.0;94;;;;
144;mo;721;443;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6455_820_1550.bmp;609;865;27.0;166;;;;
84;ly;802;1022;d:\DATA\DiagonAdatbazis_20170221-5\18_kezi_dia_5_8_13\18_6458_1105_1400.bmp;1103;886;27.0;81;;;;
